14114 -7247
14517 -31965
-17235 -24913
-21953 1882
-2925 14137
12242 -154
426 -18300
-23321 -11558
-27388 16762
-1846 34907
26848 21238
28811 -9006
5451 -22661
-12688 -8639
-5037 9792
14540 5708
15835 -17063
-8066 -28537
-31492 -10645
-27054 19592
505 30183
20544 12586
13596 -9067
-5735 -8699
-8843 9543
10282 17606
27064 -66
17540 -25880
-11206 -30265
-28909 -7801
-18551 16266
3999 16944
10569 -840
-4200 -9960
-17143 3785
-6727 23455
18767 22248
30765 -2457
15211 -25149
-10281 -22739
-18199 -1887
-4152 10397
9135 654
1583 -14874
-18467 -11671
-24570 11175
-5630 28870
19615 21040
24925 -3441
7835 -17495
-8476 -8684
-4608 6721
11239 5469
14509 -12698
-3805 -24472
-24888 -12371
-24751 12895
-3512 24873
14936 13091
12106 -5191
-3330 -7222
-7742 6976
6852 15415
22393 2791
17449 -19387
-5583 -26290
-22733 -10051
-17233 10787
878 14076
8200 623
-2648 -8199
-14440 1645
-7904 18742
13128 20417
25647 1451
15468 -18873
-5603 -19833
-14444 -3850
-4559 7626
7088 1240
2532 -11965
-13998 -11320
-21242 6622
-7690 22942
13598 19270
20517 84
8343 -13045
-5572 -7782
-4059 4775
8623 5248
12903 -8976
-659 -20165
-18762 -12559
-21243 7636
-5639 19394
10169 12106
9939 -2420
-1703 -5540
-6326 4950
4296 12682
17510 4121
15616 -13695
-1752 -21263
-16699 -10330
-14609 6326
-1159 10758
5704 1441
-1558 -6056
-11151 408
-7538 13885
8355 16937
19618 3604
13838 -12811
-1946 -15676
-10193 -4720
-4171 4637
4726 1073
2334 -8822
-9947 -9469
-16713 3413
-7893 16787
8388 15965
15423 2355
7825 -8568
-2761 -6233
-2840 2752
6089 3947
10059 -6087
826 -15219
-13148 -10933
-16655 3831
-6176 13930
6126 10106
7392 -426
-580 -3680
-4578 3420
2639 9649
12906 4201
12787 -9130
514 -16126
-11503 -9319
-11494 3137
-2123 7627
3613 1565
-1046 -4287
-8399 -123
-6519 10083
5152 13417
14557 4255
11518 -8474
-5 -11911
-7033 -4521
-3406 2820
3307 852
2126 -6573
-7010 -7789
-12925 1457
-7211 12125
5069 12682
11342 3034
6523 -5648
-1430 -4692
-2042 1884
4526 3232
8049 -4103
1621 -11556
-9204 -9219
-12841 1652
-5703 9939
3690 7969
5343 341
-236 -2496
-3474 2496
1597 7423
9520 3864
10153 -6088
1428 -12006
-7872 -7705
-8656 1427
-2161 5277
2274 1293
-777 -3052
-6220 -320
-5263 7180
3096 10156
10408 3986
8936 -5390
902 -8559
-4524 -3803
-2477 1470
2148 418
1510 -4728
-4891 -5817
-9416 540
-5815 8370
2848 9397
7820 2990
5059 -3322
-353 -3217
-1088 1029
3183 2068
5695 -2836
1449 -8124
-6120 -6874
-9104 488
-4638 6553
1856 5783
3445 842
31 -1270
-2140 1842
1178 5145
6605 2851
7298 -3940
1533 -8302
-5004 -5792
-6024 316
-1972 3245
1053 941
-783 -1834
-4321 -25
-3683 5033
1994 7172
7152 3089
6429 -3367
1098 -5830
-2736 -2897
-1623 610
1334 -1
847 -3373
-3514 -4053
-6630 332
-4207 5772
1745 6609
5270 2335
3558 -1985
-5 -2017
-453 733
2439 1284
4041 -2181
981 -5819
-4324 -4899
-6414 242
-3338 4466
1101 3979
2168 682
-100 -629
-1391 1565
1072 3698
4811 1895
5130 -2897
1026 -5841
-3462 -4016
-4089 164
-1338 2062
563 461
-835 -1264
-3170 216
-2478 3736
1570 5024
5029 2053
4391 -2352
758 -3910
-1703 -1913
-881 275
942 -320
330 -2539
-2722 -2711
-4635 468
-2763 4087
1275 4465
3507 1549
2322 -1205
119 -1138
14 537
1894 615
2670 -1811
392 -4052
-3093 -3168
-4263 296
-2155 2933
621 2528
1189 526
-171 -92
-699 1346
1091 2459
3398 993
3323 -2165
523 -3895
-2286 -2571
-2569 45
-899 1107
65 140
-912 -647
-2159 565
-1351 2752
1370 3257
3408 1122
2782 -1646
455 -2468
-943 -1182
-365 -16
556 -580
-163 -1840
-2155 -1567
-3075 700
-1554 2880
1049 2831
2260 869
1376 -716
135 -504
344 440
1544 121
1680 -1630
-149 -2847
-2374 -1869
-2795 521
-1192 2012
482 1502
588 271
-300 172
-311 1243
1165 1691
2558 301
2062 -1876
-56 -2673
-1731 -1446
-1568 249
-396 632
-50 -161
-961 -428
-1635 749
-659 2232
1387 2174
2500 370
1653 -1422
4 -1588
-624 -543
20 2
473 -708
-415 -1515
-1891 -909
-2181 943
-712 2271
1108 1792
1574 256
690 -589
-16 -126
475 460
1346 -140
1068 -1543
-545 -2108
-1994 -992
-1858 780
-484 1498
508 817
243 20
-407 283
-76 1160
1210 1176
1996 -183
1215 -1704
-462 -1881
-1394 -701
-927 396
-84 341
-138 -317
-965 -230
-1209 897
-124 1846
1409 1382
1862 -168
891 -1271
-280 -1024
-423 -163
209 -15
338 -752
-608 -1199
-1660 -389
-1498 1112
-117 1806
1117 1069
1102 -138
267 -485
-69 89
551 407
1158 -339
619 -1459
-811 -1584
-1728 -391
-1237 953
-24 1173
528 398
57 -124
-426 342
91 1062
1225 804
1617 -505
647 -1608
-762 -1377
-1224 -202
-541 545
141 209
-141 -398
-925 -126
-947 965
194 1603
1442 896
1493 -523
415 -1226
-509 -705
-360 96
314 35
293 -749
-689 -1025
-1527 -98
-1111 1224
257 1572
1191 647
873 -422
1 -498
-170 181
539 402
1034 -414
373 -1386
-963 -1273
-1581 -29
-872 1084
277 1015
594 145
-20 -256
-447 324
152 977
1193 597
1379 -673
324 -1529
-921 -1082
-1121 79
